LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,Hadoop_E29,Created MRAppMaster for application <*>,Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,Hadoop_E42,Executing with tokens:,Hadoop,O O O O O O O O O O LOI O O OBA O O O O OBA TDA O,0,1,0,0,0,1,0,2,0,0
3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",Hadoop_E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,Hadoop_E111,Using mapred newApiCommitter.,Hadoop,O O O O O O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,Hadoop_E76,OutputCommitter set in config <*>,Hadoop,O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,Hadoop_E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],Hadoop_E31,Default file system [hdfs://<*>:<*>],Hadoop,O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,Hadoop_E37,Emitting job history data to the timeline server is not enabled,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Hadoop_E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,Hadoop_E63,loaded properties from hadoop-metrics2.properties,Hadoop,O O O O O O O OID O O O O O O,1,0,0,0,0,0,0,0,0,0
21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,Hadoop_E92,Scheduled snapshot period at <*> second(s).,Hadoop,O O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,Hadoop_E69,MRAppMaster metrics system started,Hadoop,O O O O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,Hadoop_E7,Adding job token for <*> to jobTokenSecretManager,Hadoop,O O O O O O O O O O O OID O O O O O O O O O LOI O LOI O O O O O O O O O O O O O O O O O O,1,2,0,0,0,0,0,0,0,0
24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,Hadoop_E71,Not uberizing <*> because: not enabled; too many maps; too much input;,Hadoop,O O O O O O O O CRS CRS,0,0,0,0,0,0,2,0,0,0
25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,Hadoop_E48,Input size for job <*> = <*>. Number of splits = <*>,Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,Hadoop_E73,Number of reduces for job <*> = <*>,Hadoop,O O O O O O O O LOI O O,0,1,0,0,0,0,0,0,0,0
27,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from NEW to INITED,Hadoop_E55,<*> Transitioned from NEW to INITED,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
28,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",Hadoop_E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
31,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Hadoop_E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
32,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,Hadoop_E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,Hadoop,O O O O O O O LOI O O LOI,0,2,0,0,0,0,0,0,0,0
35,2015-10-18,"18:01:51,885",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Hadoop_E64,Logging to <*>(org.mortbay.log) via <*>,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
36,2015-10-18,"18:01:51,900",INFO,main,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.mapreduce is not defined,Hadoop_E47,Http request log for http.requests.mapreduce is not defined,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
37,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Hadoop_E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
38,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Hadoop_E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Hadoop,O O O O O O O O O O LOI O O OBA O O O O OBA TDA O,0,1,0,0,0,1,0,2,0,0
39,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Hadoop_E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
41,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,Hadoop_E8,adding path spec: <*>,Hadoop,O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
42,2015-10-18,"18:01:51,963",INFO,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 62267,Hadoop_E52,Jetty bound to port <*>,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
43,2015-10-18,"18:01:51,963",INFO,main,org.mortbay.log,jetty-6.1.26,Hadoop_E53,jetty-<*>,Hadoop,O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
44,2015-10-18,"18:01:52,088",INFO,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,Hadoop_E43,Extract jar:file:<*> to <*>,Hadoop,O O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
45,2015-10-18,"18:01:52,728",INFO,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,Hadoop_E97,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>:<*>,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
46,2015-10-18,"18:01:52,728",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 62267,Hadoop_E113,Web app <*> started at <*>,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
47,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,Hadoop_E88,Registered webapp guice modules,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
48,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Hadoop_E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
49,2015-10-18,"18:01:53,447",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,JOB_CREATE job_1445144423722_0020,Hadoop_E57,JOB_CREATE <*>,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
50,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,nodeBlacklistingEnabled:true,Hadoop_E70,nodeBlacklistingEnabled:<*>,Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
51,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,maxTaskFailuresPerNode is 3,Hadoop_E67,maxTaskFailuresPerNode is <*>,Hadoop,O O O O O O O O O O LOI O O OBA O O O O OBA TDA O,0,1,0,0,0,1,0,2,0,0
52,2015-10-18,"18:01:53,447",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,blacklistDisablePercent is 33,Hadoop_E25,blacklistDisablePercent is <*>,Hadoop,O O O O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
53,2015-10-18,"18:01:53,510",INFO,Socket Reader #1 for port 62270,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62270,Hadoop_E98,Starting Socket Reader #<*> for port <*>,Hadoop,O O O O O O O O CRS CRS,0,0,0,0,0,0,2,0,0,0
54,2015-10-18,"18:01:53,510",INFO,IPC Server listener on 62270,org.apache.hadoop.ipc.Server,IPC Server listener on 62270: starting,Hadoop_E50,IPC Server listener on <*>: starting,Hadoop,O O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
55,2015-10-18,"18:01:53,510",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,Hadoop_E51,IPC Server Responder: starting,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
56,2015-10-18,"18:01:53,557",INFO,main,org.apache.hadoop.yarn.client.RMProxy,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,Hadoop_E27,Connecting to ResourceManager at <*>/<*>:<*>,Hadoop,O O O O O O O OID O O O O O O,1,0,0,0,0,0,0,0,0,0
57,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"maxContainerCapability: <memory:8192, vCores:32>",Hadoop_E66,"maxContainerCapability: <memory:<*>, vCores:<*>",Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
58,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,queue: default,Hadoop_E82,queue: default,Hadoop,O O O O O O O OID O O O O O O,1,0,0,0,0,0,0,0,0,0
59,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Upper limit on the thread pool size is 500,Hadoop_E109,Upper limit on the thread pool size is <*>,Hadoop,O O O O O O O OID O O O O O O,1,0,0,0,0,0,0,0,0,0
60,2015-10-18,"18:01:53,713",INFO,main,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,yarn.client.max-cached-nodemanagers-proxies : 0,Hadoop_E114,yarn.client.max-cached-nodemanagers-proxies : <*>,Hadoop,O O O O O O O O OBA OBA OBA OBA OBA OBA OBA OBA OBA OBA OBA,0,0,0,0,0,0,0,11,0,0
61,2015-10-18,"18:01:53,744",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from INITED to SETUP,Hadoop_E54,<*> Transitioned from INITED to SETUP,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
62,2015-10-18,"18:01:53,775",INFO,CommitterEvent Processor #0,org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Processing the event EventType: JOB_SETUP,Hadoop_E78,Processing the event EventType: JOB_SETUP,Hadoop,O O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
63,2015-10-18,"18:01:53,822",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,Hadoop_E56,<*> Transitioned from SETUP to RUNNING,Hadoop,O O O O O O O OID O O O O O O,1,0,0,0,0,0,0,0,0,0
94,2015-10-18,"18:01:53,885",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED,Hadoop_E102,<*> Task Transitioned from NEW to SCHEDULED,Hadoop,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
106,2015-10-18,"18:01:53,885",INFO,Thread-50,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"mapResourceRequest:<memory:1024, vCores:1>",Hadoop_E65,"mapResourceRequest:<memory:<*>, vCores:<*>",Hadoop,O O O O O O O O O O LOI O O OBA O O O O OBA TDA O,0,1,0,0,0,1,0,2,0,0
107,2015-10-18,"18:01:53,900",INFO,eventHandlingThread,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist",Hadoop_E41,"Event Writer setup for JobId: <*>, File: hdfs://<*>",Hadoop,O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
108,2015-10-18,"18:01:53,900",INFO,Thread-50,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"reduceResourceRequest:<memory:1024, vCores:1>",Hadoop_E87,"reduceResourceRequest:<memory:<*>, vCores:<*>",Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
122,2015-10-18,"18:01:57,104",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,The job-jar file on the remote FS is hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.jar,Hadoop_E107,The job-jar file on the remote FS is hdfs://<*>,Hadoop,O O O O O O O O CRS CRS,0,0,0,0,0,0,2,0,0,0
123,2015-10-18,"18:01:57,119",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,The job-conf file on the remote FS is /tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job.xml,Hadoop_E106,The job-conf file on the remote FS is <*>,Hadoop,O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
124,2015-10-18,"18:01:57,119",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Adding #0 tokens and #1 secret keys for NM use for launching container,Hadoop_E6,Adding #<*> tokens and #<*> secret keys for NM use for launching container,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
125,2015-10-18,"18:01:57,119",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Size of containertokens_dob is 1,Hadoop_E95,Size of containertokens_dob is <*>,Hadoop,O O O O O O O O O O LOI O O OBA O O O O OBA TDA O,0,1,0,0,0,1,0,2,0,0
126,2015-10-18,"18:01:57,119",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Putting shuffle token in serviceData,Hadoop_E81,Putting shuffle token in serviceData,Hadoop,O O O O O O O O OID OBA O OBA OBA OBA CRS CRS OBA,1,0,0,0,0,0,2,5,0,0
642,2015-10-18,"18:04:08,987",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Assigned container container_1445144423722_0020_01_000011 to attempt_1445144423722_0020_m_000009_0,Hadoop_E13,Assigned container <*> to <*>,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
647,2015-10-18,"18:04:08,987",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,Hadoop_E21,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
649,2015-10-18,"18:04:09,096",INFO,ContainerLauncher #9,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Launching attempt_1445144423722_0020_m_000009_0,Hadoop_E62,Launching <*>,Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
651,2015-10-18,"18:04:09,268",INFO,ContainerLauncher #9,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000009_0 : 13562,Hadoop_E94,Shuffle port returned by ContainerManager for <*> : <*>,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
652,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445144423722_0020_m_000009_0] using containerId: [container_1445144423722_0020_01_000011 on NM: [MSRA-SA-39.fareast.corp.microsoft.com:28345],Hadoop_E105,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>:<*>],Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
653,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,Hadoop_E14,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
654,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,ATTEMPT_START task_1445144423722_0020_m_000009,Hadoop_E22,ATTEMPT_START <*>,Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
655,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000009 Task Transitioned from SCHEDULED to RUNNING,Hadoop_E104,<*> Task Transitioned from SCHEDULED to RUNNING,Hadoop,O O O O O O O O CRS CRS,0,0,0,0,0,0,2,0,0,0
