LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
140,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:59.733,2931,INFO,nova.compute.manager,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,OpenStack_E38,Running instance usage audit for host <*> from <*>-<*>-<*> <*>:<*>:<*> to <*>-<*>-<*> <*>:<*>:<*>. <*> instances.,OpenStack,O O O O O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
394,nova-scheduler.log.1.2017-05-16_13:53:08,2017-05-16,00:02:58.484,25998,INFO,nova.scheduler.host_manager,req-53427a68-ae6f-4b07-aace-853b0890e9b3 - - - - -,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,OpenStack_E39,Successfully synced instances from host '<*>'.,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1297,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:09:41.850,2931,WARNING,nova.compute.manager,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",OpenStack_E43,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",OpenStack,O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1762,nova-scheduler.log.1.2017-05-16_13:53:08,2017-05-16,00:13:09.162,25998,INFO,nova.scheduler.host_manager,req-c34edf86-25ac-4c79-ab19-9ea9caa4eddf - - - - -,The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,OpenStack_E40,The instance sync for host '<*>' did not match. Re-created its InstanceList.,OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1902,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:06.453,2931,INFO,nova.virt.libvirt.driver,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Deleting instance files /var/lib/nova/instances/c62f4f25-982c-4ea2-b5e4-93000edfcfbf_del,OpenStack_E4,[instance: <*>] Deleting instance files <*>,OpenStack,O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1903,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:06.455,2931,INFO,nova.virt.libvirt.driver,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Deletion of /var/lib/nova/instances/c62f4f25-982c-4ea2-b5e4-93000edfcfbf_del complete,OpenStack_E5,[instance: <*>] Deletion of <*> complete,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1904,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:06.582,2931,INFO,nova.compute.manager,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took 1.02 seconds to destroy the instance on the hypervisor.,OpenStack_E14,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,OpenStack,O O O O O O O O O O O O O OID O O O O O O O O O O,1,0,0,0,0,0,0,0,0,0
1906,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:07.161,2931,INFO,nova.compute.manager,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took 0.58 seconds to deallocate network for instance.,OpenStack_E13,[instance: <*>] Took <*> seconds to deallocate network for instance.,OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1908,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:14:09.186,25746,INFO,nova.api.openstack.wsgi,req-8a5b19ff-20d8-40e7-94d3-29b89f9b6987 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,HTTP exception thrown: No instances found for any event,OpenStack_E33,HTTP exception thrown: No instances found for any event,OpenStack,O O O O O O O O O O O O O OID O O O LOI,1,1,0,0,0,0,0,0,0,0
1912,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:10.139,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E29,Base or swap file too young to remove: <*>,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1913,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:15.167,2931,WARNING,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E42,Unknown base file: <*>,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1914,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:15.168,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E36,Removable base files: <*>,OpenStack,O O O O O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
1915,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:15.169,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E37,Removing base or swap file: <*>,OpenStack,O O O O O O O O O O O O O O OID O O OID,2,0,0,0,0,0,0,0,0,0
1918,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.993,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",OpenStack_E1,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1919,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.995,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total memory: 64172 MB, used: 512.00 MB",OpenStack_E17,"[instance: <*>] Total memory: <*> MB, used: <*> MB",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1920,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.996,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] memory limit: 96258.00 MB, free: 95746.00 MB",OpenStack_E10,"[instance: <*>] memory limit: <*> MB, free: <*> MB",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1921,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.996,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total disk: 15 GB, used: 0.00 GB",OpenStack_E16,"[instance: <*>] Total disk: <*> GB, used: <*> GB",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1922,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.997,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] disk limit not specified, defaulting to unlimited",OpenStack_E6,"[instance: <*>] disk limit not specified, defaulting to unlimited",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1923,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.997,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total vcpu: 16 VCPU, used: 0.00 VCPU",OpenStack_E18,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1924,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.998,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] vcpu limit not specified, defaulting to unlimited",OpenStack_E19,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1925,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:19.032,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Claim successful,OpenStack_E2,[instance: <*>] Claim successful,OpenStack,O O O O O O O O O O O O O OID O LOI O O O O O OBA O OBA O O O O O O O,1,1,0,0,0,0,0,2,0,0
1928,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:19.600,2931,INFO,nova.virt.libvirt.driver,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Creating image,OpenStack_E3,[instance: <*>] Creating image,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1931,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:21.038,2931,INFO,nova.compute.manager,-,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] VM Stopped (Lifecycle Event),OpenStack_E23,[instance: <*>] VM Stopped (Lifecycle Event),OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1936,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:25.130,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,OpenStack_E28,Auditing locally available compute resources for node <*>,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1939,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:25.456,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"Total usable vcpus: 16, total allocated vcpus: 1",OpenStack_E41,"Total usable vcpus: <*>, total allocated vcpus: <*>",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1940,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:25.457,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[],OpenStack_E32,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],OpenStack,O O O O O O O O O O O O O OID O O,1,0,0,0,0,0,0,0,0,0
1941,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:25.518,2931,INFO,nova.compute.resource_tracker,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,OpenStack_E30,Compute_service record updated for <*>,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1954,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:33.197,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] VM Started (Lifecycle Event),OpenStack_E22,[instance: <*>] VM Started (Lifecycle Event),OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1955,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:33.266,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] VM Paused (Lifecycle Event),OpenStack_E20,[instance: <*>] VM Paused (Lifecycle Event),OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1967,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:14:39.044,25743,INFO,nova.api.openstack.compute.server_external_events,req-dedb4b73-18c3-428b-8f65-56390838beef f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,Creating event network-vif-plugged:1771f0af-aae8-4b03-97c9-a7bc9c5e4bb7 for instance faf974ea-cba5-4e1b-93f4-3a3bc606006f,OpenStack_E31,Creating event network-vif-plugged:<*>-<*>-<*>-<*>-<*> for instance <*>,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1968,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:14:39.049,25743,INFO,nova.osapi_compute.wsgi.server,req-dedb4b73-18c3-428b-8f65-56390838beef f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0901439",OpenStack_E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1970,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:39.066,2931,INFO,nova.virt.libvirt.driver,-,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Instance spawned successfully.,OpenStack_E9,[instance: <*>] Instance spawned successfully.,OpenStack,O O O O O O O O O O O O O OID O O O O O O O O O O,1,0,0,0,0,0,0,0,0,0
1971,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:39.067,2931,INFO,nova.compute.manager,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Took 19.47 seconds to spawn the instance on the hypervisor.,OpenStack_E15,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1972,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:39.178,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] During sync_power_state the instance has a pending task (spawning). Skip.,OpenStack_E7,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,OpenStack,O O O O O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
1973,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:39.179,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] VM Resumed (Lifecycle Event),OpenStack_E21,[instance: <*>] VM Resumed (Lifecycle Event),OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1974,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:39.198,2931,INFO,nova.compute.manager,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Took 20.22 seconds to build instance.,OpenStack_E12,[instance: <*>] Took <*> seconds to build instance.,OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1982,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:45.369,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,OpenStack_E34,image <*> at (<*>): checking,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1983,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:45.370,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",OpenStack_E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",OpenStack,O O O O O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
1986,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:45.546,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E27,Active base files: <*>,OpenStack,O O O O O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
1996,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:14:47.410,25746,INFO,nova.osapi_compute.wsgi.server,req-699eeadf-6db8-44a4-8521-1ab4e8a53b53 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/faf974ea-cba5-4e1b-93f4-3a3bc606006f HTTP/1.1"" status: 204 len: 203 time: 0.2727120",OpenStack_E24,"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>",OpenStack,O O O O O O O O O O O O O OID O O CRS O O CRS O,1,0,0,0,0,0,2,0,0,0
1997,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:47.447,2931,INFO,nova.compute.manager,req-699eeadf-6db8-44a4-8521-1ab4e8a53b53 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Terminating instance,OpenStack_E11,[instance: <*>] Terminating instance,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1999,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:47.663,2931,INFO,nova.virt.libvirt.driver,-,[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Instance destroyed successfully.,OpenStack_E8,[instance: <*>] Instance destroyed successfully.,OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
2000,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:14:47.687,25746,INFO,nova.osapi_compute.wsgi.server,req-dd237280-5bc8-41cb-a035-26c8e64d49fc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1916 time: 0.2717581",OpenStack_E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
