Index,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP,Class
1,0,1,0,1,0,0,0,0,0,0,0
2,0,0,0,1,1,0,0,0,1,0,1
3,1,2,0,0,0,0,0,0,0,0,0
4,0,1,1,1,0,0,0,0,0,1,1
5,1,0,1,1,0,0,0,0,1,0,1
6,1,0,0,0,0,0,0,0,1,0,1
7,2,0,1,1,0,0,0,0,1,0,1
8,1,1,0,1,0,0,0,0,0,1,0
9,2,1,0,1,0,0,0,0,1,0,1
10,2,1,1,1,0,0,0,0,1,0,1
11,2,0,1,1,0,0,0,0,0,1,1
12,1,1,0,1,0,0,0,0,1,0,1
13,2,0,0,1,0,0,0,0,1,0,1
14,1,0,0,1,0,0,0,0,1,0,0
15,2,0,1,1,0,0,0,0,0,1,0
16,2,0,1,1,0,0,0,0,0,1,1
17,2,1,0,1,0,0,0,0,1,0,1
18,1,1,0,1,1,1,0,0,1,0,1
19,1,0,1,1,0,0,0,0,0,1,1
20,1,1,1,1,0,0,0,0,1,0,1
21,1,0,0,1,0,0,1,0,1,0,1
22,1,1,1,1,0,0,0,0,1,0,1
23,1,1,1,1,0,0,1,1,0,1,1
24,2,0,0,1,0,0,0,0,1,0,1
25,1,1,0,1,1,0,0,1,1,0,1
26,1,1,0,0,1,0,0,0,1,0,1
27,1,0,1,0,1,0,0,0,0,0,0
28,2,1,0,1,1,0,0,0,1,0,1
29,1,0,1,0,1,0,0,0,0,3,1
30,0,0,0,1,0,0,0,1,1,0,1
31,2,2,2,2,1,0,0,0,0,1,1
32,2,0,1,1,0,0,0,0,1,0,1
33,2,0,0,1,0,0,0,0,1,0,1
34,1,0,0,1,0,0,0,0,1,0,1
35,2,0,0,1,0,0,0,0,1,0,1
36,4,0,0,1,0,0,0,0,1,0,1
37,2,0,0,1,0,0,0,0,1,0,1
38,1,0,0,1,0,0,0,0,1,0,1
39,1,0,0,1,0,0,0,0,0,0,1
40,1,0,0,1,0,0,0,0,1,0,1
41,1,0,1,1,0,0,1,0,1,0,0
42,2,0,2,1,0,0,0,0,1,0,1
43,2,0,1,1,0,0,0,0,0,1,0
44,1,0,1,1,0,0,0,0,1,0,1
45,1,0,1,1,1,0,0,0,0,1,1
46,1,1,0,1,0,0,0,0,1,1,1
47,1,1,0,1,0,0,0,1,1,0,1
48,2,0,0,1,0,0,0,0,1,0,1
49,1,0,1,1,1,0,0,1,1,0,1
50,1,0,1,1,1,0,0,0,0,1,0
51,1,1,1,1,0,0,0,0,0,1,0
52,1,0,1,1,1,0,0,0,0,1,0
53,1,0,0,1,0,0,0,0,1,0,1
54,0,0,0,1,0,0,0,0,1,4,1
55,1,0,0,1,0,0,0,0,1,0,1
56,1,0,1,1,0,0,0,0,1,0,0
57,0,0,0,1,0,0,0,0,0,1,0
58,0,0,0,1,0,0,0,0,1,1,1
59,1,1,0,1,0,1,0,0,0,0,0
60,0,0,0,1,0,0,0,0,1,6,1
61,0,0,0,1,0,1,0,0,0,1,1
62,0,0,1,1,0,0,0,0,1,0,0
63,0,0,0,1,0,0,0,0,0,1,0
64,0,0,0,0,0,0,0,0,0,1,0
65,0,0,0,1,0,0,0,0,0,1,0
66,2,2,0,0,0,0,0,0,1,0,1
67,0,0,0,1,0,0,0,0,1,0,1
68,1,1,0,0,0,0,0,0,1,0,1
69,0,1,0,1,0,0,0,0,0,0,0
70,0,0,0,1,0,0,0,0,0,1,0
71,1,0,1,1,0,0,0,0,1,0,0
72,0,0,1,1,1,0,0,0,0,0,1
73,0,0,1,1,0,0,0,0,0,1,0
74,0,0,1,1,0,0,0,0,0,1,0
75,0,0,1,1,0,0,0,0,1,0,1
76,0,0,1,1,0,0,0,0,0,1,1
77,0,0,0,1,0,0,0,0,0,1,1
78,1,0,1,1,1,0,0,0,1,0,1
79,0,0,1,1,0,0,0,0,0,1,1
80,0,0,0,1,0,0,0,0,1,1,1
81,0,0,1,1,0,0,0,0,1,1,1
82,0,0,0,1,0,0,0,0,0,3,0
83,0,1,0,1,0,0,1,0,0,0,0
84,0,0,0,2,0,1,1,0,0,0,0
85,0,0,0,1,0,0,0,0,0,0,0
86,2,1,0,1,0,0,0,2,0,1,0
87,0,0,0,0,0,0,1,0,0,1,0
88,0,0,0,0,0,0,1,0,0,0,1
89,0,0,0,0,0,0,1,1,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,1,0,0,1,0,1,0,0
92,0,1,0,0,0,0,0,1,0,0,0
93,0,0,0,0,0,0,1,2,0,0,0
94,0,0,0,0,0,0,0,2,0,3,0
95,0,0,1,1,0,0,0,0,0,1,0
96,0,0,0,0,0,0,1,2,0,0,1
97,0,0,0,1,0,0,0,0,0,0,0
98,0,0,0,1,0,0,0,0,1,0,1
99,0,0,0,1,1,0,0,0,0,1,0
100,0,0,0,1,0,0,0,1,0,0,0
101,0,0,1,1,0,0,0,0,0,1,0
102,0,0,0,1,0,0,1,0,0,0,0
103,1,0,0,1,0,0,0,0,0,0,0
104,0,0,0,0,0,0,1,0,0,0,0
105,0,0,1,1,0,0,0,0,0,1,0
106,1,1,0,0,0,0,1,0,0,0,0
107,0,0,0,1,0,0,1,0,0,0,0
108,0,0,1,1,0,0,0,0,1,0,0
109,0,0,0,1,0,0,1,0,0,0,0
110,0,0,1,1,1,0,0,0,0,1,0
111,0,0,0,1,0,0,1,0,0,0,0
112,0,0,0,1,0,0,1,4,0,1,0
113,0,0,0,0,0,0,1,0,0,0,0
114,0,0,1,1,0,0,0,0,0,0,0
115,0,0,0,1,0,0,0,0,0,1,0
116,0,0,0,1,0,0,0,0,0,1,0
117,0,0,0,0,0,0,0,0,0,0,1
118,0,0,0,1,0,0,0,0,0,3,1
119,0,0,0,1,0,0,0,0,0,1,0
120,0,0,0,1,0,0,0,0,0,1,0
121,0,0,0,1,0,0,0,0,0,1,0
122,0,0,0,0,0,0,0,1,0,1,0
123,0,0,0,0,0,0,0,0,0,1,0
124,0,0,0,0,0,0,1,1,0,0,0
125,0,0,0,0,0,0,1,0,0,0,0
126,0,0,0,0,0,0,1,0,0,0,0
127,0,0,0,1,0,0,1,0,0,0,0
128,0,0,0,1,1,0,1,0,0,0,0
129,0,0,0,1,0,0,1,0,0,0,0
130,0,0,0,1,0,0,1,0,0,0,0
131,0,0,0,1,0,0,0,0,0,1,0
132,0,0,1,1,0,0,0,0,0,0,0
133,0,0,0,1,0,0,0,0,0,1,0
134,0,0,0,1,0,0,0,0,0,0,0
135,0,0,0,1,0,0,0,0,0,1,0
136,0,1,0,1,0,0,0,1,0,0,0
137,0,0,0,1,0,0,1,0,0,0,0
138,0,0,0,1,0,0,1,0,0,0,0
139,0,0,0,1,0,0,1,0,1,0,0
140,0,0,0,1,0,0,0,0,0,1,1
141,0,0,0,1,0,0,0,0,0,1,0
142,0,0,1,1,0,0,0,0,1,0,0
143,0,0,3,3,0,0,0,0,0,0,0
144,0,0,1,1,0,0,1,0,1,0,0
145,0,0,0,1,0,0,1,0,0,1,1
146,0,0,0,1,0,0,0,0,1,0,1
147,0,0,0,1,0,0,1,0,0,0,0
148,0,0,0,1,0,0,0,0,0,1,0
149,1,1,0,1,0,0,0,0,0,0,1
150,0,0,0,1,1,0,1,0,0,0,1
151,0,0,1,1,0,0,0,0,1,1,0
152,0,0,0,1,1,0,0,0,1,1,0
153,0,0,0,1,0,0,0,0,0,1,0
154,0,0,0,1,0,0,1,0,0,0,0
155,0,0,0,1,0,0,0,0,0,1,0
156,0,0,0,1,0,0,0,0,0,0,0
157,0,0,0,0,0,0,1,0,0,1,0
158,0,0,1,1,0,0,1,0,0,0,0
159,0,0,0,1,0,0,0,0,0,0,0
160,0,0,0,0,0,0,1,1,0,0,0
161,0,0,1,1,0,0,0,0,0,1,0
162,0,0,1,1,0,0,0,0,0,0,0
163,0,0,0,1,0,0,1,1,0,0,0
164,0,0,1,1,0,0,0,0,0,0,0
165,0,0,0,1,0,0,0,0,0,1,0
166,0,0,1,1,0,0,0,0,1,0,0
167,0,0,0,1,0,0,0,0,0,1,0
168,0,0,0,1,0,0,0,0,0,1,1
169,0,0,0,1,0,0,0,0,0,1,0
170,0,0,1,1,0,0,1,0,1,0,0
171,2,2,0,1,0,0,0,0,0,1,0
172,0,0,1,1,0,1,1,0,0,0,0
173,1,2,1,1,1,0,0,0,0,1,0
174,0,1,0,1,0,0,0,0,1,0,1
175,0,2,0,1,1,0,0,0,1,1,1
176,0,2,1,0,0,0,0,0,1,2,1
177,1,2,0,0,0,0,0,0,1,0,1
178,0,2,1,1,0,0,0,0,1,2,1
179,0,0,0,0,0,1,0,0,0,0,1
180,2,1,0,0,0,0,0,0,0,0,0
181,1,0,0,1,0,0,0,0,0,0,0
182,1,1,0,1,0,0,0,0,0,0,1
183,2,0,0,0,0,0,0,0,0,0,1
184,0,0,0,0,0,0,0,0,0,4,1
185,2,1,0,1,0,0,0,0,0,0,0
186,0,0,0,1,1,0,0,0,1,0,1
187,1,1,1,1,0,0,0,0,1,0,0
188,0,1,0,1,0,0,0,0,0,0,0
189,1,1,0,0,0,0,0,0,0,0,0
190,1,1,0,0,0,0,0,0,0,0,0
191,0,0,0,1,1,0,0,0,0,1,1
192,0,1,0,1,0,0,0,0,0,1,1
193,0,0,0,0,0,0,0,0,0,1,0
194,1,1,1,1,0,0,0,0,1,0,1
195,0,0,0,0,1,0,0,0,0,1,1
196,1,0,0,0,0,1,0,0,0,0,1
197,0,1,0,1,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0
199,0,0,1,0,0,0,0,0,0,1,0
200,0,0,0,1,0,0,0,0,0,1,1
201,0,0,0,0,0,0,0,0,0,0,0
202,1,0,0,1,0,0,0,0,0,0,1
203,1,0,0,1,0,1,0,0,1,0,1
204,2,0,0,1,1,0,0,0,1,0,1
205,0,0,0,1,0,0,0,0,0,1,0
206,1,0,0,0,0,0,0,0,0,0,0
207,0,1,0,0,0,0,0,0,0,2,1
208,1,0,0,1,0,0,0,0,1,0,1
209,0,0,0,1,2,0,0,0,1,0,0
210,2,0,0,1,1,0,0,0,1,0,0
211,0,0,0,1,0,1,0,0,0,0,0
212,0,1,0,1,0,0,0,0,0,0,1
213,3,0,2,1,0,0,0,0,1,0,1
214,2,0,0,2,1,0,0,0,0,2,0
215,0,0,1,1,0,0,0,0,0,0,0
216,1,1,0,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,0,0,0,4,0
218,1,1,1,1,0,0,0,0,1,0,1
219,0,0,0,1,0,0,0,0,0,1,1
220,0,1,1,1,1,0,0,0,0,1,0
221,2,0,0,0,1,0,0,0,0,2,0
222,1,1,0,1,0,0,0,0,1,0,0
223,0,0,0,0,0,0,0,0,0,1,1
224,1,1,1,1,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,1,0,0,0,0,0,1,0
227,2,0,0,1,2,0,0,0,1,2,1
228,0,0,0,1,0,0,0,0,0,1,0
229,2,2,0,1,0,0,0,0,0,0,1
230,2,0,0,0,0,1,0,0,0,0,1
231,1,0,0,1,0,0,0,0,0,2,0
232,1,0,0,0,0,1,0,0,1,0,1
233,0,0,0,0,0,0,1,0,0,1,1
234,2,2,0,1,0,1,0,0,0,0,0
235,0,0,0,0,0,0,1,0,1,1,1
236,2,1,0,0,0,0,0,0,1,0,1
237,2,2,0,1,0,0,0,0,1,0,1
238,2,0,0,0,0,1,0,0,0,0,1
239,0,0,0,0,0,0,0,0,1,0,1
240,0,0,0,1,0,0,2,0,0,0,1
241,0,0,0,1,0,0,0,0,0,1,1
242,0,0,0,0,0,0,1,0,0,1,1
243,2,2,0,1,0,0,0,0,0,0,0
244,2,2,0,1,0,0,1,0,0,0,1
245,0,0,0,0,0,0,1,0,1,0,1
246,1,0,0,1,0,0,1,0,1,0,1
247,2,2,0,1,0,0,0,0,0,0,1
248,2,0,0,1,0,0,0,0,0,0,0
249,2,2,0,2,0,0,1,0,0,0,0
250,2,2,0,1,0,0,0,0,0,0,1
251,0,0,0,0,0,0,1,0,1,0,1
252,0,0,0,0,0,0,0,0,1,0,1
253,0,0,0,1,0,0,0,0,0,1,0
254,2,2,0,1,0,0,0,0,0,0,1
255,2,0,0,1,0,0,0,0,0,0,1
256,0,2,0,1,0,0,0,0,1,0,1
257,0,0,0,0,0,0,0,0,1,0,1
258,2,2,0,1,0,0,0,0,0,0,1
259,0,2,0,1,0,0,0,0,1,0,1
260,0,2,0,1,0,0,0,0,1,0,1
261,0,0,0,0,0,0,0,0,1,0,0
262,0,0,0,0,0,0,1,0,0,1,1
263,0,0,0,0,0,0,2,0,1,0,0
264,2,2,0,2,0,0,0,0,1,0,1
265,0,0,0,0,0,0,1,0,1,0,1
266,2,2,0,1,0,0,0,0,0,0,1
267,0,0,0,1,0,0,0,0,0,1,1
268,0,0,0,1,0,0,0,0,0,1,1
269,2,0,0,2,0,0,1,0,0,0,1
270,2,0,0,0,0,1,0,0,0,0,1
271,2,2,0,0,0,1,0,0,0,0,1
272,2,0,0,0,0,0,1,0,0,0,1
273,2,2,0,2,0,1,0,0,0,0,1
274,0,0,0,0,0,0,0,0,1,0,1
275,0,2,0,1,0,0,0,0,0,1,1
276,2,0,0,1,0,0,0,0,0,0,0
277,2,0,0,2,0,0,1,0,1,0,0
278,1,1,0,0,0,0,0,0,0,1,1
279,1,0,0,1,0,0,0,0,1,1,1
280,2,0,0,2,0,0,1,0,0,0,1
281,1,1,0,0,0,0,0,0,1,0,1
282,2,1,0,0,0,0,0,0,0,1,1
283,1,0,0,1,1,1,1,0,1,0,1
284,2,2,0,1,0,0,0,0,1,0,1
285,0,0,0,0,0,0,0,0,1,2,1
286,1,1,0,1,0,0,0,1,1,0,1
287,2,0,0,1,0,0,0,0,0,1,1
288,1,0,1,0,0,0,0,0,1,1,1
289,0,0,0,1,0,0,0,0,0,2,1
290,1,0,1,0,0,0,0,0,1,1,1
291,0,0,0,1,0,0,0,0,0,1,1
292,0,0,0,2,0,0,1,0,1,0,1
293,2,0,0,2,0,0,1,0,1,1,1
294,1,0,0,1,0,0,1,0,0,3,0
295,1,2,0,0,0,0,1,0,1,0,1
296,1,1,0,0,0,0,0,0,1,0,1
297,2,0,0,2,0,0,0,0,1,1,1
298,0,0,0,1,0,0,0,0,1,3,1
299,1,0,0,2,0,0,0,0,1,0,1
300,1,0,0,1,0,0,1,0,1,0,1
301,2,0,0,1,0,0,0,0,1,0,1
302,0,0,0,1,0,0,0,2,1,1,0
303,1,1,0,0,0,0,0,0,0,4,1
304,1,1,0,0,0,0,0,0,1,0,1
305,2,0,0,1,0,0,0,0,1,0,1
306,0,0,0,0,0,0,1,1,0,1,0
307,2,0,0,2,0,0,0,0,0,0,1
308,1,1,0,1,0,1,0,0,0,3,1
309,1,1,0,1,0,0,0,0,1,0,1
310,1,1,0,1,0,0,0,0,1,0,1
311,0,0,0,0,0,0,0,0,0,1,1
312,1,0,0,1,0,0,0,0,1,1,1
313,1,1,0,1,0,0,0,0,1,0,1
314,0,2,0,0,0,1,0,0,0,0,0
315,0,0,0,2,0,0,0,0,1,1,1
316,2,0,0,1,0,0,0,0,1,2,1
317,1,1,1,1,0,0,0,0,0,5,1
318,2,2,0,1,0,0,0,0,0,0,1
319,2,0,0,0,0,1,0,0,0,0,0
320,2,0,0,1,0,0,0,0,1,1,1
321,2,0,0,2,0,0,0,0,1,1,1
322,1,0,0,1,0,0,1,0,1,0,0
323,2,0,0,1,0,0,0,0,1,1,1
324,1,0,0,1,0,1,0,0,0,1,1
325,1,0,0,0,0,0,0,0,1,0,0
326,1,0,1,1,0,0,0,0,1,2,1
327,2,1,0,1,0,0,0,0,1,0,1
328,1,1,0,0,0,0,0,0,1,0,1
329,1,1,0,0,0,0,0,0,1,0,1
330,0,0,0,0,0,0,1,0,0,0,1
331,1,1,0,0,0,0,0,0,1,0,1
332,4,0,0,1,0,0,0,0,0,0,1
333,0,0,0,1,0,1,0,2,0,1,0
334,2,1,0,2,0,0,1,0,0,0,0
335,2,0,0,2,0,0,1,1,1,0,0
336,2,0,0,1,0,1,0,0,1,0,1
337,3,1,0,1,0,0,0,0,1,0,1
338,16,0,0,0,0,0,0,0,0,0,1
339,2,0,0,1,0,1,0,0,0,0,1
340,0,0,0,1,0,0,1,0,1,0,1
341,2,2,0,1,0,0,0,0,0,0,1
342,2,0,0,1,0,0,0,0,1,0,1
343,0,0,0,0,0,0,1,0,0,1,1
344,2,1,0,0,0,0,0,0,1,0,1
345,2,0,0,1,0,1,0,0,1,0,1
346,1,0,0,0,0,0,1,0,1,0,1
347,0,0,0,0,0,0,0,0,0,4,1
348,0,0,0,0,0,0,0,0,1,0,1
349,1,0,1,1,0,0,0,0,0,0,0
350,0,0,0,1,0,0,0,0,0,1,0
351,0,0,0,1,0,0,0,0,0,1,0
352,0,0,0,1,0,0,0,0,0,1,0
353,0,0,0,1,0,0,0,0,0,1,0
354,0,0,2,2,0,0,0,0,0,1,0
355,0,0,2,2,0,0,0,0,0,2,0
356,0,1,1,1,0,0,0,0,0,1,0
357,0,0,0,2,0,0,0,0,0,1,1
358,1,1,1,1,0,0,0,0,0,1,0
359,0,0,0,1,0,1,0,0,0,1,0
360,0,0,0,1,0,0,0,0,0,1,0
361,0,0,1,1,0,0,0,0,0,2,0
362,1,0,1,0,0,0,0,0,1,3,1
363,0,0,0,1,0,0,0,1,0,0,0
364,1,0,1,1,0,0,0,0,0,1,0
365,1,0,0,1,0,0,0,0,1,0,0
366,0,0,0,1,0,0,0,0,0,1,0
367,0,0,1,1,0,0,1,0,0,1,0
368,0,0,0,1,0,0,0,0,0,1,0
369,0,0,2,2,0,0,0,0,0,1,0
370,0,1,1,1,0,0,0,0,0,1,0
371,0,0,0,1,0,0,0,0,0,1,0
372,0,1,1,1,0,0,0,0,0,1,0
373,2,0,2,2,1,0,0,0,0,3,0
374,0,0,0,1,0,0,0,0,0,1,0
375,0,0,1,2,0,0,0,0,0,1,0
376,0,0,2,0,0,0,0,0,0,2,0
377,0,0,2,2,0,0,0,0,0,2,0
378,0,0,0,0,0,0,0,0,0,1,0
379,1,1,0,1,0,0,0,0,1,0,0
380,0,0,0,1,0,0,1,0,0,0,0
381,1,2,1,1,0,0,0,0,0,1,0
382,1,1,1,1,0,0,0,0,0,0,0
383,0,1,1,1,0,0,0,0,1,0,0
384,1,0,1,1,0,0,0,0,0,1,0
385,1,0,0,1,0,0,0,0,0,0,0
